,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,D01,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,D02,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,D03,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,D04,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,D05,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,D06,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,D07,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,D08,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,D09,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,D10,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,D11,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,D12,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,E01,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,E02,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,E03,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,E04,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,E05,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,E06,FAM,,Unkn,,,30.5100411713362,30.5100411713362,0,NaN,NaN,NaN,0,58,
,E07,FAM,,Unkn,,,34.5306740981615,34.5306740981615,0,NaN,NaN,NaN,0,58,
,E08,FAM,,Unkn,,,34.4470199428918,34.4470199428918,0,NaN,NaN,NaN,0,58,
,E09,FAM,,Unkn,,,33.350615019415,33.350615019415,0,NaN,NaN,NaN,0,58,
,E10,FAM,,Unkn,,,33.4419068827465,33.4419068827465,0,NaN,NaN,NaN,0,58,
,E11,FAM,,Unkn,,,33.700565545854,33.700565545854,0,NaN,NaN,NaN,0,58,
,E12,FAM,,Unkn,,,34.0639902418404,34.0639902418404,0,NaN,NaN,NaN,0,58,
